"820842351572713473": "['want another blunt', '1']",
"498198897991614464": "['@Joeingram1 made some research and cant get adderall in Mexico, send me some ;)', '0']",
"486528692693516288": "['Been to see consultant\nHe's putting me on Venlafaxine and upping my Quetiapine to 500mg a night\nI'm fucked! 😨', '0']",
"826640154509111296": "['I need a blunt wtf', '1']",
"815606830760161280": "['Smoked all my weed last night im hurt', '1']",
"532638779811454976": "['Adderall pulls u out of a haze you've lived in ur whole life', '0']",
"512210293364391936": "['My first college exam today, oh joy. Surviving on adderall til after it.. then it's crash time.', '1']",
"459704088322912256": "['You can take adderall and lose yourself in a YouTube downward spiral of cute kittens. Fun? Yes. Dangerous? Absolutely.', '0']",
"822948693791875072": "['also picking up some ganja', '1']",
"537064103110389760": "['how much fucking adderall does Lorde take before performing', '0']",
"822676515393568768": "['Nah heroin is cool https://t.co/96aFmKYcqu', '1']",
"818253238864662530": "['@_jakesnake dope! Take videos!!', '0']",
"509757270046298112": "['We went through almost 8 packs of cigs since Monday afternoon between 2 people lol adderall', '0']",
"817848141223497728": "['Thank you to @blackpegasus for taking me along to these dope and wild adventures. S/O to all the… https://t.co/lGvYjzAuNS', '0']",
"825936410070888448": "['Today was dope', '0']",
"823074882481070080": "['I just need a fat blunt &amp; a massage :,(', '1']",
"501380805906546689": "['every time that they say oxy in the tide commercial i lthink oxycodone and honestly what's wrong with me', '0']",
"500850277193641984": "['@_BeautyNBrains_ I think I am too but I'm not sure lol. I actually have oxycodone', '0']",
"451947027962671104": "['when\'s the last time you ate?/ /um-/ /oh right you only eat adderall and cigarettes', '0']",
"495293070272110592": "['Took an adderall today to be productive...\n\nI can'tt stop🎶', '1']",
"453300269099397120": "['I\'d ask him for adderall but I\'m scared he\'s gonna mix it up with molly', '1']",
"819671965627805700": "['Finna smoke another blunt', '1']",
"540358143578890243": "['@MalikMoses03 I feel like this is you publicly asking for adderall', '0']",
"818333605512540161": "['I Need A Blunt Of Mid', '1']",
"487656584076865537": "['Y'all are FUNNY!!! Lol but errbody wants Adderall today so I gotta get back to work :(', '0']",
"451808677414989824": "['During finals week, students pop more Adderall and Xanax than Lindsay Lohan did in her prime.', '1']",
"822286140434681856": "['@zedsdead it's dope not slept on', '0']",
"819599487299702786": "['I'm out of weed☹️', '1']",
"817588024506744832": "['Look at these dope slippers https://t.co/K6i9xaQeNK', '0']",
"493655443961438208": "['@DreamCha5er_ haha nah morph has me feeling like the world gonna end. They about to change it to oxycodone &amp; see if it stops my dizzyness', '0']",
"826088999152295936": "['How old do you have to be to smoke crack?', '1']",
"817085330843205633": "['I wake up roll up my blunt', '1']",
"818519480921980928": "['Get high on my sauce.', '0']",
"822523313431937025": "['I can't wait to go on tour. It's so dope saying that.', '0']",
"819808128963182597": "['I just want to blow up', '1']",
"480425321326735360": "['@Miss_Scots the psychiatrist suggested that Quetiapine might also help with my struggles sleeping. :/', '0']",
"487916213855850496": "['@BipolarBlogger Maybe drop the seroquel by 100/200mg but then take the full dose with you in-case something happens then?', '0']",
"822709577598828544": "['seriously smacked asf', '0']",
"537269716088147968": "['@ukschizophrenic Tried to tweet you directly about Clozapine clinic but it wouldn't work. See my page! I'm a Quetiapine Queen (Psychosis)!', '0']",
"823316413582610433": "['Edibles are dope', '1']",
"821729788863909888": "['@DwyaneWade 's birthday party was so dope. 😍', '0']",
"816752151342911489": "['Come buy weed', '1']",
"821923188271628288": "['Time Hop is dope.', '0']",
"817608803868954626": "['@AlyannaYayaMile it's dope to me! I hope you fw it', '0']",
"823349507702325248": "['I JUST LOVE SMOKING WEED SORRY', '1']",
"505551931683897344": "['Admittedly, I'm running on an oxycodone due to another earache. And to tell the truth, I totally get why they tell you not to drive on this.', '0']",
"824728128199221249": "['Mostly proud because he's so shy and honest.... wait... maybe he's gotten into heroin', '1']",
"820992767711023104": "['Up smoking this blunt', '1']",
"823104262293094401": "['I yawn then just take another tab of acid to get over it', '1']",
"822576004967395328": "['Good afternoon I just consumed an entire pot of coffee', '0']",
"821415453050503168": "['Dope landing https://t.co/JonhM9aCPj', '0']",
"826438910712619008": "['Time for that after work blunt', '1']",
"815493350929244161": "['Time to smoke a bowl and relax.', '1']",
"817900966070616064": "['everybody getting on my damn nerves tonight. really just ready to smoke me a blunt and chill.', '1']",
"824666887334359041": "['@jewelagave @harleygrl3465 @Salon JHe needs to go back to doing Heroin and Acis.', '1']",
"823316914906791941": "['Pretty dope custom jacket', '0']",
"495418654889377793": "['Yooo once this Oxycodone hits my system it be a wrap.. Staying awake is no longer a concept I'm capable of grasping..', '0']",
"817218448107458560": "['Also, my life is dope. Carry on. 🤗', '0']",
"507889449020428288": "['Shoutout to oxycodone for saving my ass... literally. (and also giving me the weirdest dreams)', '0']",
"537378785343963136": "['Anyone have any Adderall I can have? I need to focus 😂', '1']",
"820147056106999808": "['I had a long term Substitute English Teacher in the 7th grade that does acting now. That's dope honestly.', '0']",
"823314784212828160": "['ngl i had a pretty dope winter break', '0']",
"465190948872278017": "['Big shoutout to my adderall for bein there for me when I can't seem to get out of bed 👏', '0']",
"823460921796272128": "['I have dope friends.  #loyalty', '0']",
"816404742821806081": "['About to play Clue and smoke weed with wifey..', '1']",
"540664984598896642": "['Ugh I need my adderall when I go into work. #MindFuckedUp', '0']",
"818236318580928512": "['S/O to @kaeleyfeliciano for the dope seats https://t.co/W8xig0s1Sb', '0']",
"815590360298688512": "['oh yea i could go for a blunt', '1']",
"820155507675697153": "['vodka down the funnel a fail but I'm fucked up, need some smoke', '1']",
"501566181124628482": "['cant believe there was a time i did adderall like three times a week', '0']",
